row,作品名,年份,event_id,状态,图片路径,图片URL,来源,查询词,匹配分数,命中作品名,命中作者,图片哈希,候选数量,候选1,候选2,候选3,错误信息
42,木孙楼图,1919,evt_01169,已下载,C:\Users\wu\Desktop\待查作品图片\042_木孙楼图.jpg,"https://img0.baidu.com/it/u=1980568691,2546094386&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=761",百度图片-百度百科,黄宾虹《木孙楼图》,19,TRUE,TRUE,aeb5cc88a4888ea1637bcf1de93f1e9c5837af69762789884601a97d534f665b,5,"[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系 | 黄宾虹卷:冰上鸿飞(一) | ippr_z2C$qAzdH3FAzdH3Fojtk5_z&e3Bv54AzdH3Fppw6ptvsjAzdH3FrAzdH3Ffi5o?t1=dnal9ac80mdbadmlcbm90n | https://img0.baidu.com/it/u=1980568691,2546094386&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=761","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:不读万卷书,不行万里路,难以言境界 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8b8dc9m9b8c8cb9dmda&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=1831333619,2555677971&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1095","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",
46,天苏阁图,1922,evt_01326,已下载,C:\Users\wu\Desktop\待查作品图片\046_天苏阁图.jpg,"https://img2.baidu.com/it/u=60478371,1002899718&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",百度图片-博宝艺术网,黄宾虹 天苏阁图 拍卖,19,TRUE,TRUE,719bad6b4207d8d357402e605187487b294ec3257cfa1ac2520c6afb91e88545,5,"[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系 | 黄宾虹卷:冰上鸿飞(一) | ippr_z2C$qAzdH3FAzdH3Fojtk5_z&e3Bv54AzdH3Fppw6ptvsjAzdH3FrAzdH3Ffi5o?t1=dnal9ac80mdbadmlcbm90n | https://img0.baidu.com/it/u=1980568691,2546094386&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=761","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹风吹浮云立轴欣赏.读此画,令人想起最难风雨故人来. # - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0camn80cdcalbllabmn | https://img2.baidu.com/it/u=60478371,1002899718&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 一屋灯起,万山通明.#国画艺术 #黄宾虹山水 #浙江博物馆 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0caa0b0a0la090dldca | https://img2.baidu.com/it/u=3394385038,4169568072&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",
50,西泠撰杖图,1924,evt_01455,已下载,C:\Users\wu\Desktop\待查作品图片\050_西泠撰杖图.jpg,"https://img2.baidu.com/it/u=2932028588,2673088301&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=761",百度图片-99艺术网,西泠撰杖图 黄宾虹 作品 图片,19,TRUE,TRUE,42c9f759a2a6645e6f91fcf44eabd366fb1b3538c8f6712e25dc562463010cce,5,"[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系 | 黄宾虹卷:冰上鸿飞(一) | ippr_z2C$qAzdH3FAzdH3Fojtk5_z&e3Bv54AzdH3Fppw6ptvsjAzdH3FrAzdH3Ffi5o?t1=dnal9ac80mdbadmlcbm90n | https://img0.baidu.com/it/u=1980568691,2546094386&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=761","[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系黄宾虹卷冰上鸿飞一 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Flan8nmabd_8d888ln0m | https://img2.baidu.com/it/u=2932028588,2673088301&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=761","[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系黄宾虹卷冰上鸿飞一 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Flan8nmabd_8d888ln0m | https://img0.baidu.com/it/u=2525554021,246897564&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=761",
54,访碑图,1925,evt_01475,已下载,C:\Users\wu\Desktop\待查作品图片\054_访碑图.jpg,"https://img1.baidu.com/it/u=2324217739,2830546507&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=880",百度图片-孔夫子旧书网,黄宾虹 访碑图,19,TRUE,TRUE,6972aa77de259c3a6fc6a202f577ab0719c170a4c1b447c0824a68dc8965ac14,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹八十八岁高龄篆书作品欣赏 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9b0m8lab98nllddd0c9 | https://img1.baidu.com/it/u=2324217739,2830546507&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=880","[19 作品名=False 查询作品名=True 作者=True] 《黄宾虹》100x68cm(现有作品) - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0calal0clb8ld0mmdn9 | https://img1.baidu.com/it/u=3585848833,3082457150&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1156","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹金文对联欣赏.此作文辞书法俱佳,观之如对古物,尘虑全消 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0cabdmb8n009d8cl8a9 | https://img1.baidu.com/it/u=2782783490,1122101731&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",
58,浙游纪胜图册,1926,evt_01558,已下载,C:\Users\wu\Desktop\待查作品图片\058_浙游纪胜图册.jpg,"https://img0.baidu.com/it/u=1831333619,2555677971&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1095",百度图片-搜狗百科,《浙游纪胜图册》 黄宾虹,19,TRUE,TRUE,a6d318cf230d5961739bd6367085a96ec0664b31a46bceb972015bb0a637e477,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:不读万卷书,不行万里路,难以言境界 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8b8dc9m9b8c8cb9dmda&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=1831333619,2555677971&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1095","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹,册页35x50x8纸本 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0c8lm0n9m89cmlnd8cn | https://img1.baidu.com/it/u=2320133690,1976072192&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹八十岁卧游册,笔墨从心所欲 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fl09mmcmm0_8d88d9nab | https://img0.baidu.com/it/u=2783623419,3774716036&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=682",
62,练滨草堂图,1927,evt_01636,已下载,C:\Users\wu\Desktop\待查作品图片\062_练滨草堂图.jpg,"https://img0.baidu.com/it/u=4127081860,732487425&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=656",百度图片-中国美术馆,《练滨草堂图》 黄宾虹,19,TRUE,TRUE,a35ee3263b79ca6ad50a7355b51b7453c759b2b8fde3f226a18e5d46e76292fb,5,"[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系 | 黄宾虹卷:冰上鸿飞(一) | ippr_z2C$qAzdH3FAzdH3Fojtk5_z&e3Bv54AzdH3Fppw6ptvsjAzdH3FrAzdH3Ffi5o?t1=dnal9ac80mdbadmlcbm90n | https://img0.baidu.com/it/u=1980568691,2546094386&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=761","[19 作品名=False 查询作品名=True 作者=True] 自然是活勉强即死黄宾虹先生逝世70周年 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fbmnncbcdd_8dad08bad | https://img0.baidu.com/it/u=1909866108,3106261465&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=697","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:不读万卷书,不行万里路,难以言境界 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8b8dc9m9b8c8cb9dmda&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=1831333619,2555677971&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1095",
66,采石矶图,1928,evt_01692,已下载,C:\Users\wu\Desktop\待查作品图片\066_采石矶图.jpg,"https://img0.baidu.com/it/u=3935580234,2072996142&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1016",百度图片-维基中文,黄宾虹《采石矶图》,19,TRUE,TRUE,abfab7033fd36d65f7696469c0bf8598c687c43e3e1e5cdd6a6ecb05275834ed,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹(1865年-1955年),现代杰出国画大师. | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8bcal8bbdmdm99nanaa&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=3935580234,2072996142&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1016","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹画作精选:13幅名画欣赏 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_nlca9db0dml0bddclnb | https://img2.baidu.com/it/u=3820920448,4207814388&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=653","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹(1865年-1955年),现代杰出国画大师. | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8bcal8bbdmdm99nanaa&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=2785317967,3683140436&fm=253&fmt=auto&app=120&f=JPEG?w=615&h=500",
70,画梅,1928,evt_01793,已下载,C:\Users\wu\Desktop\待查作品图片\070_画梅.jpg,"https://img1.baidu.com/it/u=1020414147,44363224&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=675",百度图片-故宫博物院,黄宾虹 画梅,19,TRUE,TRUE,b955aad12d0a1d1df02f0a0ce41a337a40edb1d63034e20970da62a45128ba60,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹写梅,绚烂而有骨力 | ippr_z2C$qAzdH3FAzdH3Fgjof_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fbml909c0b_8d88d90na | https://img1.baidu.com/it/u=1020414147,44363224&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=675","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹写梅,绚烂而有骨力 | ippr_z2C$qAzdH3FAzdH3Fgjof_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fbbac08n0n_8d88d9088 | https://img0.baidu.com/it/u=2800632985,1252710604&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=1349","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹写梅,苍老如铁 | ippr_z2C$qAzdH3FAzdH3Fgjof_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fl0a99l800_8d88d9bal | https://img1.baidu.com/it/u=2371187302,3620572290&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=828",
74,机丝夜月图题咏集,1928,,已下载,C:\Users\wu\Desktop\待查作品图片\074_机丝夜月图题咏集.jpg,"https://img0.baidu.com/it/u=2994276961,2787624003&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=3235",百度图片-豆瓣,黄宾虹《机丝夜月图题咏集》,19,TRUE,TRUE,47b02fbd29da0b29daf9f93c58dd91fe763035c07ffd28fd402ea2174a84c634,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹|《画学篇》 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3F0b99cbn8c_8d88d908a | https://img0.baidu.com/it/u=2994276961,2787624003&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=3235","[19 作品名=False 查询作品名=True 作者=True]  p>该作品为黄宾虹先生80岁以后的精品力作,现由湖北美术学院收藏. | ippr_z2C$qAzdH3FAzdH3Fkwthj_z&e3Bkwt17_z&e3Bv54AzdH3Ftpj4AzdH3F%E9%Bb%BA%Ec%b0%A9%Em%B8%Aa%Ec%bc%bb%E0%l9%lF%E9%BD%lC%Ec%B8%B8%Em%Ba%B9%Ec%lB%lB%Em%lD%A8%Ec%B8%bFAzdH3Fma090cac | https://img1.baidu.com/it/u=2918093888,1591134942&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=935","[19 作品名=False 查询作品名=True 作者=True]  p>该作品为黄宾虹先生80岁以后的精品力作,现由湖北美术学院收藏. | ippr_z2C$qAzdH3FAzdH3Fkwthj_z&e3Bkwt17_z&e3Bv54AzdH3Ftpj4AzdH3F%E9%Bb%BA%Ec%b0%A9%Em%B8%Aa%Ec%bc%bb%E0%l9%lF%E9%BD%lC%Ec%B8%B8%Em%Ba%B9%Ec%lB%lB%Em%lD%A8%Ec%B8%bFAzdH3Fma090cac | https://img0.baidu.com/it/u=1687436507,278552878&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=686",
78,沪上画人集绘记,1928,evt_01839,已下载,C:\Users\wu\Desktop\待查作品图片\078_沪上画人集绘记.jpg,"https://img0.baidu.com/it/u=715131530,524695957&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",百度图片-中华珍宝馆,《沪上画人集绘记》 黄宾虹,19,TRUE,TRUE,423819631d26864582e4429f04091f1367c8e747f6e9743106f4b7e53a5fc082,5,"[19 作品名=False 查询作品名=True 作者=True] 《黄宾虹》100x68cm(现有作品) - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0calal0clb8ld0mmdn9 | https://img1.baidu.com/it/u=3585848833,3082457150&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1156","[19 作品名=False 查询作品名=True 作者=True] 新安画派巨擘,黄宾虹.全才.观前人,启发后人. - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0ncadbmdcnnm9la0d0m | https://img0.baidu.com/it/u=715131530,524695957&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] ""没有民族的东西在画中体现,就没有个性"" | cafam馆藏《晚年黄宾虹》 | ippr_z2C$qAzdH3FAzdH3F4p_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fb90cbb089_9dd009 | https://img1.baidu.com/it/u=2035003104,1744995070&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=584",
82,二美宴记,1929,evt_01875,已下载,C:\Users\wu\Desktop\待查作品图片\082_二美宴记.jpg,"https://img0.baidu.com/it/u=2103158229,1641540075&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=687",百度图片-雅昌艺术网,黄宾虹 二美宴记,19,TRUE,TRUE,a1f41beaca03f231c7b1a7022e2538e29d5146941132b8570a86aa3ccbf7f14a,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹《东坡诗意》 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fb90l99899_8d88d9bal | https://img0.baidu.com/it/u=2103158229,1641540075&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=687","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹(1865～1955) 行书  七言诗 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bxsyfw7v_z&e3Bv54AzdH3F45ktsjAzdH3Fw7vpt5gAzdH3F1jpwtsAzdH3Ft1AzdH3F80l9na_z&e3Bip4s | https://img1.baidu.com/it/u=3134640566,2676677672&fm=253&fmt=auto&app=138&f=JPEG?w=390&h=1139","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹临摹《大盂鼎》艺术赏析 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_nldad8mnm0lnc0lln89 | https://img0.baidu.com/it/u=1503610319,1300242861&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=692",
86,林散之,1929,evt_01975,已下载,C:\Users\wu\Desktop\待查作品图片\086_林散之.jpg,"https://img0.baidu.com/it/u=3876631418,2899390936&fm=253&fmt=auto&app=138&f=PNG?w=500&h=653",百度图片,黄宾虹《林散之》,19,TRUE,TRUE,115e32319e101e5b99c855ff5f90f34484e8ff09bd1990f49f38f7137beed39a,5,"[19 作品名=True 查询作品名=True 作者=True] 同源异彩——黄宾虹,林散之,李可染艺术研究 | ippr_z2C$qAzdH3FAzdH3Fz2fifv3xi_z&e3Bv54AzdH3Fg1_z&e3B3fr?t1=8b9 | https://img0.baidu.com/it/u=3876631418,2899390936&fm=253&fmt=auto&app=138&f=PNG?w=500&h=653","[19 作品名=True 查询作品名=True 作者=True] 林散之为什么用超长锋羊毫 | 羲希堂_林老称_线条_黄宾虹 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3F8a89b0099m_8d88d908a | https://img2.baidu.com/it/u=2886496280,2615703729&fm=253&fmt=auto&app=120&f=JPEG?w=434&h=704","[19 作品名=True 查询作品名=True 作者=True] 同源异彩——黄宾虹,林散之,李可染艺术研究 | ippr_z2C$qAzdH3FAzdH3Fz2fifv3xi_z&e3Bv54AzdH3Fg1_z&e3B3fr?t1=8b9 | https://img1.baidu.com/it/u=3316174727,247233514&fm=253&fmt=auto&app=138&f=PNG?w=406&h=764",
90,蔬果图卷,1930,evt_02122,已下载,C:\Users\wu\Desktop\待查作品图片\090_蔬果图卷.jpg,"https://img2.baidu.com/it/u=3820920448,4207814388&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=653",百度图片-搜狗百科,黄宾虹《蔬果图卷》,19,TRUE,TRUE,63c62184f3ae45b16d992a949511307fca715e41391b21ea6a87b31220bdf334,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹画作精选:13幅名画欣赏 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_nlca9db0dml0bddclnb | https://img2.baidu.com/it/u=3820920448,4207814388&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=653","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹册页欣赏.#中国花鸟画 #浙江博物馆 #黄宾虹 #黄宾 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0ca98acmmd0clmcdmab | https://img2.baidu.com/it/u=327288948,546939007&fm=253&fmt=auto&app=138&f=JPEG?w=1067&h=800","[19 作品名=False 查询作品名=True 作者=True] 近现代著名画家黄宾虹高清作品集萃 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8b8lac9cn9n809mn00a&ou6=frt1j6&u56=rv | https://img2.baidu.com/it/u=3637373126,3741437549&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=3780",
94,风轩水槛图,1930,evt_02176,已下载,C:\Users\wu\Desktop\待查作品图片\094_风轩水槛图.jpg,"https://img2.baidu.com/it/u=2583699791,41184371&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1003",百度图片-中国嘉德,黄宾虹 风轩水槛图,19,TRUE,TRUE,64469703baa2a72aa50fc9d9f1019a7906824450c1411614465ec5e41679e9cf,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水屏风(纯手绘) 单幅画心尺寸 68 x - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09lnbmc9nm90ddaa9cl | https://img2.baidu.com/it/u=2583699791,41184371&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1003","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 一屋灯起,万山通明.#国画艺术 #黄宾虹山水 #浙江博物馆 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0caa0b0a0la090dldca | https://img2.baidu.com/it/u=3394385038,4169568072&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",
98,洞天福地图,1930,evt_02215,已下载,C:\Users\wu\Desktop\待查作品图片\098_洞天福地图.jpg,"https://img1.baidu.com/it/u=2320133690,1976072192&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",百度图片-上海博物馆,黄宾虹《洞天福地图》,19,TRUE,TRUE,cb4dbd074efef5a974f41bd78840b4b801cfed883149ce7cd8b017be71c0d0de,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹,册页35x50x8纸本 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0c8lm0n9m89cmlnd8cn | https://img1.baidu.com/it/u=2320133690,1976072192&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:古典主义的永恒传奇 🎨 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9mlmm0manamd0mc00c0 | https://img0.baidu.com/it/u=4127081860,732487425&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=656","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:不读万卷书,不行万里路,难以言境界 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8b8dc9m9b8c8cb9dmda&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=1831333619,2555677971&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1095",
102,桂林山水图卷,1931,evt_02243,已下载,C:\Users\wu\Desktop\待查作品图片\102_桂林山水图卷.jpg,"https://img0.baidu.com/it/u=1636058723,410106788&fm=253&fmt=auto&app=120&f=JPEG?w=800&h=1044",百度图片-雅昌画廊,黄宾虹 桂林山水图卷 拍卖,19,TRUE,TRUE,b7556a1c3eff38a2253a1f0815fa977f4bfcc0cf211921d2367092cfd9ac256f,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 🖼️黄宾虹山水画欣赏 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9bb9n88llnd0ldd9nbc | https://img0.baidu.com/it/u=1636058723,410106788&fm=253&fmt=auto&app=120&f=JPEG?w=800&h=1044","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹桂林山水画:荒野奇峰的写实与诗意 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_nm8cll8980cc8lbb9ab | https://img0.baidu.com/it/u=26159074,4141158998&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=942",
106,雁山叙别图,1931,evt_02305,已下载,C:\Users\wu\Desktop\待查作品图片\106_雁山叙别图.jpg,"https://img0.baidu.com/it/u=3985063661,4121470302&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1404",百度图片-北京保利,《雁山叙别图》 黄宾虹,19,TRUE,TRUE,2a7fe7ceac1a820b8c960563aee4ac04b9085968c62ebabe5cad0f25956e6921,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 纪念黄宾虹诞辰160周年|王鲁湘:黄宾虹画学的理论基石 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Flaa0ccan9_8d88d90l9 | https://img0.baidu.com/it/u=3985063661,4121470302&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1404","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:画山能重,画水能轻 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8bnlcbnmlm0nna9cm09&ou6=frt1j6&u56=rv | https://img1.baidu.com/it/u=3944355049,1174511181&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=698",
